start_time,	pre_process,	bird_view,	sliding_windows,	draw_lane,	run_time
1546768698.17,	0.00231504440308,	0.00311589241028,	0.00710010528564,	0.00403094291687,	1546768698.19
1546768698.2,	0.00189900398254,	0.00454807281494,	0.0100541114807,	0.00430798530579,	1546768698.22
1546768698.23,	0.00231122970581,	0.00256299972534,	0.0126309394836,	0.00217795372009,	1546768698.25
1546768698.27,	0.00219893455505,	0.00305390357971,	0.0118350982666,	0.00341391563416,	1546768698.29
1546768698.3,	0.00325584411621,	0.00239706039429,	0.00689506530762,	0.00249099731445,	1546768698.32
1546768698.33,	0.00198411941528,	0.00203585624695,	0.0108850002289,	0.00265312194824,	1546768698.35
1546768698.36,	0.00197196006775,	0.0019371509552,	0.00789904594421,	0.00322890281677,	1546768698.38
1546768698.38,	0.00209903717041,	0.00278496742249,	0.00696301460266,	0.00295495986938,	1546768698.4
1546768698.41,	0.0032901763916,	0.0023078918457,	0.00781488418579,	0.00224804878235,	1546768698.42
1546768698.43,	0.00196695327759,	0.00295901298523,	0.00885701179504,	0.00238990783691,	1546768698.45
1546768698.46,	0.00218796730042,	0.00196003913879,	0.00701093673706,	0.00417590141296,	1546768698.48
1546768698.48,	0.00312280654907,	0.0033860206604,	0.00788116455078,	0.0038948059082,	1546768698.5
1546768698.51,	0.00187397003174,	0.00203800201416,	0.00858187675476,	0.00293111801147,	1546768698.53
1546768698.53,	0.00270891189575,	0.00445008277893,	0.0058388710022,	0.00205111503601,	1546768698.55
1546768698.56,	0.00204610824585,	0.00363183021545,	0.00914311408997,	0.00352191925049,	1546768698.58
1546768698.58,	0.00368595123291,	0.00206804275513,	0.00676083564758,	0.00236105918884,	1546768698.6
1546768698.61,	0.00243806838989,	0.00198411941528,	0.00737380981445,	0.0037100315094,	1546768698.63
1546768698.64,	0.00395703315735,	0.00379586219788,	0.00550508499146,	0.00411295890808,	1546768698.65
1546768698.66,	0.00292778015137,	0.00204801559448,	0.00907516479492,	0.00297093391418,	1546768698.68
1546768698.69,	0.00190711021423,	0.00205898284912,	0.00938487052917,	0.00267100334167,	1546768698.71
1546768698.71,	0.00395584106445,	0.00246500968933,	0.0087411403656,	0.0020170211792,	1546768698.73
1546768698.74,	0.00298404693604,	0.00212287902832,	0.00768113136292,	0.00375986099243,	1546768698.76
1546768698.77,	0.00267100334167,	0.00215315818787,	0.0062530040741,	0.00283002853394,	1546768698.79
1546768698.8,	0.00189685821533,	0.00557017326355,	0.00816082954407,	0.00402116775513,	1546768698.82
1546768698.83,	0.00188183784485,	0.00200915336609,	0.0113937854767,	0.00225710868835,	1546768698.85
1546768698.85,	0.00368714332581,	0.00235891342163,	0.00506901741028,	0.00238299369812,	1546768698.87
1546768698.88,	0.00186896324158,	0.0037682056427,	0.00928592681885,	0.00223398208618,	1546768698.9
1546768698.9,	0.00227785110474,	0.00230407714844,	0.00861215591431,	0.00266695022583,	1546768698.92
1546768698.94,	0.00238513946533,	0.00206589698792,	0.00868606567383,	0.00417304039001,	1546768698.95
1546768698.96,	0.00233697891235,	0.00243806838989,	0.00762391090393,	0.00290298461914,	1546768698.98
1546768698.99,	0.00214886665344,	0.00286602973938,	0.00994205474854,	0.00244498252869,	1546768699.01
1546768699.01,	0.00201511383057,	0.00200390815735,	0.0062780380249,	0.00517296791077,	1546768699.03
1546768699.04,	0.00954103469849,	0.00212407112122,	0.00566482543945,	0.00225114822388,	1546768699.06
1546768699.06,	0.00265789031982,	0.00211095809937,	0.00520896911621,	0.00492715835571,	1546768699.08
1546768699.09,	0.00256204605103,	0.00588011741638,	0.00946187973022,	0.00338912010193,	1546768699.12
1546768699.13,	0.00342106819153,	0.0025269985199,	0.00793194770813,	0.00402307510376,	1546768699.15
1546768699.15,	0.0025110244751,	0.00335192680359,	0.00833892822266,	0.00279116630554,	1546768699.17
1546768699.18,	0.00182795524597,	0.00220608711243,	0.00602293014526,	0.00274801254272,	1546768699.19
1546768699.2,	0.00201678276062,	0.00226306915283,	0.00848293304443,	0.00397515296936,	1546768699.22
1546768699.22,	0.00254011154175,	0.0058069229126,	0.00639295578003,	0.00446820259094,	1546768699.25
1546768699.25,	0.00330305099487,	0.00223207473755,	0.00897288322449,	0.00428104400635,	1546768699.27
1546768699.28,	0.00222277641296,	0.00390720367432,	0.00860285758972,	0.00314211845398,	1546768699.3
1546768699.3,	0.00211811065674,	0.00526094436646,	0.0069260597229,	0.00216698646545,	1546768699.33
1546768699.33,	0.00186991691589,	0.00233507156372,	0.00972580909729,	0.0029890537262,	1546768699.35
1546768699.36,	0.00272393226624,	0.00549507141113,	0.0055251121521,	0.00230097770691,	1546768699.37
1546768699.38,	0.00214815139771,	0.00202679634094,	0.00824618339539,	0.00403380393982,	1546768699.4
1546768699.41,	0.00301194190979,	0.00416612625122,	0.0051589012146,	0.00453305244446,	1546768699.42
1546768699.44,	0.00195789337158,	0.00243210792542,	0.00916385650635,	0.00213217735291,	1546768699.45
1546768699.46,	0.00206804275513,	0.00217914581299,	0.0114388465881,	0.00485897064209,	1546768699.48
1546768699.49,	0.00770902633667,	0.00372695922852,	0.00820088386536,	0.00408697128296,	1546768699.51
1546768699.52,	0.00188994407654,	0.00200486183167,	0.0105400085449,	0.00279307365417,	1546768699.54
1546768699.55,	0.00202703475952,	0.00202012062073,	0.00559997558594,	0.00477194786072,	1546768699.57
1546768699.57,	0.00241589546204,	0.00274991989136,	0.00547409057617,	0.0040340423584,	1546768699.59
1546768699.59,	0.00240397453308,	0.00391006469727,	0.00714015960693,	0.00298094749451,	1546768699.61
1546768699.62,	0.00342798233032,	0.00236392021179,	0.00733494758606,	0.00304913520813,	1546768699.63
1546768699.64,	0.00185394287109,	0.00197505950928,	0.00830698013306,	0.00409603118896,	1546768699.66
1546768699.67,	0.00401997566223,	0.00207209587097,	0.00657796859741,	0.00266098976135,	1546768699.68
1546768699.69,	0.00185894966125,	0.00200200080872,	0.0104401111603,	0.00220894813538,	1546768699.71
1546768699.72,	0.0022439956665,	0.00206089019775,	0.006667137146,	0.00491094589233,	1546768699.74
1546768699.74,	0.00213098526001,	0.00569105148315,	0.00589799880981,	0.00222396850586,	1546768699.76
1546768699.77,	0.00374794006348,	0.00534009933472,	0.00885486602783,	0.002357006073,	1546768699.79
1546768699.8,	0.0020899772644,	0.00424408912659,	0.00627708435059,	0.0027539730072,	1546768699.82
1546768699.83,	0.00185704231262,	0.00203704833984,	0.0124061107635,	0.00223278999329,	1546768699.85
1546768699.85,	0.00249814987183,	0.00196290016174,	0.00570702552795,	0.00354599952698,	1546768699.87
1546768699.88,	0.00192904472351,	0.00339484214783,	0.00952196121216,	0.00213503837585,	1546768699.89
1546768699.9,	0.00493192672729,	0.00211405754089,	0.00670409202576,	0.00518894195557,	1546768699.92
1546768699.93,	0.00187611579895,	0.00210785865784,	0.00921702384949,	0.00299406051636,	1546768699.95
1546768699.95,	0.00326108932495,	0.00375699996948,	0.00628995895386,	0.00495505332947,	1546768699.97
1546768699.98,	0.00223183631897,	0.00348901748657,	0.00915598869324,	0.00226211547852,	1546768700.0
1546768700.01,	0.00187420845032,	0.00308990478516,	0.0099310874939,	0.00274801254272,	1546768700.03
1546768700.04,	0.00290203094482,	0.00279688835144,	0.00663304328918,	0.00371694564819,	1546768700.06
1546768700.06,	0.00189805030823,	0.00248098373413,	0.0075478553772,	0.00231409072876,	1546768700.08
1546768700.09,	0.00192213058472,	0.00361084938049,	0.00629711151123,	0.00348305702209,	1546768700.11
1546768700.12,	0.00295400619507,	0.00227308273315,	0.00550293922424,	0.00696587562561,	1546768700.14
1546768700.15,	0.00216293334961,	0.00364208221436,	0.00719404220581,	0.00276494026184,	1546768700.16
1546768700.17,	0.00220799446106,	0.00198316574097,	0.00665497779846,	0.00286197662354,	1546768700.18
1546768700.19,	0.00193381309509,	0.00198006629944,	0.00969409942627,	0.00292086601257,	1546768700.21
1546768700.22,	0.00358295440674,	0.00214195251465,	0.0072181224823,	0.00378394126892,	1546768700.24
1546768700.25,	0.00223803520203,	0.00520396232605,	0.00836801528931,	0.00241088867188,	1546768700.27
1546768700.28,	0.00203108787537,	0.00203895568848,	0.00728106498718,	0.00386500358582,	1546768700.29
